Adularia,KAlSi3O8
Hendricksite,K(ZnMgMn2+)3(AlSi3O10)(OH)2
Heneuite,CaMg5(CO3)(PO4)3(OH)
Henmilite,Ca2Cu[B(OH)4]2(OH)4
Hennomartinite,SrMn3+2(Si2O7)(OH)2 · H2O
Henritermierite,Ca3(Mn3+Al)2(SiO4)2(OH)4
Hentschelite,CuFe3+2(PO4)2(OH)2
Hepatite,BaSO4
Herbeckite,SiO2
Hercynite,Fe2+Al2O4
Herderite,CaBePO4(FOH)
Quartz,SiO2
Herrerite,(ZnCu)CO3
Herschelite,(Na2K2CaSrMg)2[Al2Si4O12]2 · 12H2O
Herzenbergite,SnS
Hessite,Ag2Te
Hessonite,Ca3Al2(SiO4)3
Hetaerolite,ZnMn2O4
Heterobrochantite,Cu3SO4(OH)4
Heterogenite,Co3+O(OH)
Heteromorphite,Pb7Sb8S19
Heterosite,(Fe3+Mn3+)PO4
Heubachite,(CoNi)O(OH)
Hewettite,CaV6O16 · 9H2O
Hexahydrite,MgSO4 · 6H2O
Hexahydroborite,Ca[B(OH)4]2 · 2H2O or CaB2O4 · 6H2O
Hexatestibiopanickelite,(PdNi)(SbTe)
Heyite,Pb5Fe2+2(VO4)2O4
Heyrovskite,Pb6Bi2S9
Hibbingite,Fe2+2(OH)3Cl
Hibonite,(CaCe)(AlTiMg)12O19
Hibschite,Ca3Al2(SiO4)3-x(OH)4x
Hidalgoite,PbAl3(AsO4)(SO4)(OH)6
Hieratite,K2[SiF6]
Hilairite,Na2Zr[SiO3]3 · 3H2O
Hilgardite,Ca2B5O9Cl · H2O
Hilgenstockite,Ca4P2O9
Hillebrandite,Ca2(SiO3)(OH)2
Hingganite-(Ce),(CeREE)2(□Fe2+)Be2[SiO4]2(OH)2
Hingganite-(Y),(YREECa)2(□Fe2+)Be2[SiO4]2(OH)2
Hingganite-(Yb),(YbYREE)2□Be2[SiO4]2(OH)2
Hinsdalite,PbAl3(PO4)(SO4)(OH)6
Hiortdahlite,(NaCa)2Ca4Zr(MnTiFe)(Si2O7)2(FO)4
Hisingerite,Fe3+2(Si2O5)(OH)4 · 2H2O
Hocartite,Ag2(Fe2+Zn)SnS4
Hochelagaite,(CaNaSr)(NbTiSiAl)4O11 · 8H2O
Hodgkinsonite,Mn2+Zn2(SiO4)(OH)2
Hodrušite,Cu8Bi12S22
Hoelite,C14H8O2
Högbomite,(MgFe)2(AlTi)5O10
Høgtuvaite,Ca4[Fe2+6Fe3+6]O4[Si8Be2Al2O36]
Hohmannite,Fe3+2(SO4)2O · 8H2O
Holdawayite,Mn6(CO3)2(OH)7(ClOH)
Holdenite,(Mn2+Mg)6Zn3(AsO4)2(SiO4)(OH)8
Hollandite,Ba(Mn4+6Mn3+2)O16
Hollingworthite,(RhPtPd)AsS
Holmquistite,☐{Li2}{Mg3Al2}(Si8O22)(OH)2
Holtedahlite,Mg2(PO4)(OH)
Holtite,(Ta0.6◻0.4)Al6BSi3O18(OOH)2.25
Homilite,Ca2(Fe2+Mg)B2Si2O10
Honessite,(Ni1-xFe3+x)(OH)2[SO4]x/2 · nH2O
Hongquiite,TiO
Hongshiite,PtCu
Hörnesite,Mg3(AsO4)2 · 8H2O
Horsfordite,Cu Sb
Hotsonite,Al11(SO4)3(PO4)2(OH)21 · 16H2O
Howardevansite,NaCuFe2(VO4)3
Howieite,Na(FeMn)10(FeAl)2Si12O31(OH)13
Howlite,Ca2B5SiO9(OH)5
Hsianghualite,Ca3Li2(Be3Si3O12)F2
Huanghoite-(Ce),BaCe(CO3)2F
Huangite,Ca0.5Al3(SO4)2(OH)6
Hübnerite,MnWO4
Huemulite,Na4Mg(V10O28) · 24H2O
Hügelite,Pb2(UO2)3(AsO4)2O2 · 5H2O
Hulsite,(Fe2+Mg)2(Fe3+Sn)(BO3)O2
Humberstonite,Na7K3Mg2(SO4)6(NO3)2 · 6H2O
Humboldtilite,(CaNa)2(SiMgAl)3O7
Humboldtine,Fe2+(C2O4) · 2H2O
Humite,(MgFe2+)7(SiO4)3(FOH)2
Hummerite,K2Mg2(V10O28) · 16H2O
Hunchunite,Au2Pb
Hungchaoite,Mg(B4O7) · 9H2O
Huntite,CaMg3(CO3)4
Hureaulite,(MnFe)5(PO4)2(HPO4)2 · 4H2O
Hurlbutite,CaBe2(PO4)2
Hutchinsonite,TlPbAs5S9
Huttonite,ThSiO4
Hydroxylbastnäsite-(Ce),Ce(CO3)(OH)
Hydroxylbastnäsite-(Nd),Nd(CO3)(OH)
Hydroxylellestadite,Ca5(SiO4)1.5(SO4)1.5(OH)
Opal-AN,SiO2 · nH2O
Hyalophane,(KBa)[Al(SiAl)Si2O8]
Hyalotekite,(PbBaK)4(CaY)2(BBe)2(SiB)2Si8O28(FCl)
Hydroxylherderite,CaBe(PO4)(OHF)
Hydroandradite,Ca3Fe3+2(SiO4)3-x(OH)4x
Hydroastrophyllite,(H3OKCa)3(FeMn)5-65Ti2Si8(OOH)31
Hydrobasaluminite,Al4(SO4)(OH)10 · 12-36H2O
Hydrobiotite,K(MgFe2+)6((SiAl)8O20)(OH)4 · nH2O
Hydroboracite,CaMg[B3O4(OH)3]2 · 3H2O
Hydrocalumite,Ca4Al2(OH)12(ClCO3OH)2 · 4H2O
Hydrocerussite,Pb3(CO3)2(OH)2
Hydrochlorborite,Ca4B8O15Cl2 · 21H2O
Hydrodelhayelite,KCa2AlSi7O17(OH)2 · 6H2O
Hydrodresserite,BaAl2(CO3)2(OH)4 · 3H2O
Hydroglauberite,Na10Ca3(SO4)8 · 6H2O
Hydrohalite,NaCl · 2H2O
Hydrohematite,α-Fe3+O(OH)
Hydrohetaerolite,ZnMn2O4 · H2O
Hydrohonessite,(Ni1-xFe3+x)(OH)2(SO4)x/2 · nH2O
Hydromagnesite,Mg5(CO3)4(OH)2 · 4H2O
Hydromarchite,Sn3O2(OH)2
Hydrombobomkulite,(NiCu)Al4((NO3)2SO4)(OH)12 · 13-14H2O
Hydromolysite,FeCl3 · 6H2O
Hydroniumjarosite,(H3O)Fe3+3(SO4)2(OH)6
Hydroromarchite,Sn3O2(OH)2
Hydroscarbroite,Al14(CO3)3(OH)36 · nH2O
Hydrotalcite,Mg6Al2(CO3)(OH)16 · 4H2O
Hydrotungstite,WO3 · 2H2O
Hydroxyapophyllite-(K),KCa4(Si8O20)(OHF) · 8H2O
Hydroxycancrinite,Na8(Al6Si6O24)(OH)2 · 2H2O
Hydroxy-petscheckite,U4+(Fe3+≤1/3☐≥2/3)(NbTa)2O≤7(OH)≥1
Hydroxylapatite,Ca5(PO4)3(OH)
Hydrozincite,Zn5(CO3)2(OH)6
Hypercinnabar,HgS
Hypersthene,(MgFe)SiO3
Hydroxylbastnäsite-(La),(LaNdCe)(CO3)(OHF)
Hannebachite,CaSO3 · H2O
Henryite,(CuAg)3+xTe2  with x ~ 0.40
Hopeite,Zn3(PO4)2 · 4H2O
Ianthinite,U4+(UO2)5O7 · 10H2O
Ice,H2O
Idaite,Cu5FeS6
Idrialite,C22H14
Idrizite,(MgFe)(AlFe)2(SO4)3(OH)2 · 15H2O or near
Zincian Cerussite,(PbZn)CO3
Iimoriite-(Y),Y2[SiO4][CO3]
Ikaite,CaCO3 · 6H2O
Ikunolite,Bi4(SSe)3
Ilesite,(MnZnFe)SO4 · 4H2O
Ilímaussite-(Ce),(NaK)7-8(BaK)10Ce5(NbTi)6(Si3O9)4(Si9O18)O6(OOH)24
Illite,K0.65Al2.0[Al0.65Si3.35O10](OH)2
Ilmajokite,(NaCeBa)2TiSi3O5(OH)10 · nH2O
Ilmenite,Fe2+TiO3
Ilmenorutile,Fex(NbTa)2x · 4Ti1-xO2
Ilsemannite,Mo3O8 · nH2O
Ilvaite,CaFe3+Fe2+2(Si2O7)O(OH)
Imandrite,Na12Ca3Fe3+2(Si6O18)2
Imgreite,NiTe (?)
Imhofite,Tl5.8As15.4S26
Imiterite,Ag2HgS2
Imogolite,Al2SiO3(OH)4
Inaglyite,Cu3Pb(IrPt)8S16
Incaite,(PbAg)4Sn4FeSb2S15
Inderborite,CaMg(H3B3O7)2 · 8H2O
Inderite,MgB3O3(OH)5 · 5H2O
Indialite,Mg2Al3(AlSi5O18)
Indicolite,A(D3)G6(T6O18)(BO3)3X3Z
Indigirite,Mg2Al2(CO3)4(OH)2 · 15H2O
Indite,FeIn2S4
Indium,In
Inesite,Ca2(MnFe)7Si10O28(OH)2 · 5H2O
Ingersonite,Ca3Mn2+Sb5+4O14
Ingodite,Bi2TeS
Innelite,Na2CaBa4Ti3(Si2O7)2(SO4)2O4
Insizwaite,Pt(BiSb)2
Inyoite,Ca(H4B3O7)(OH) · 4H2O
Iodargyrite,AgI
Iowaite,Mg6Fe3+2(OH)16Cl2 · 4H2O
Iquiqueite,K3Na4Mg(CrO4)B24O39(OH) · 12H2O
Iranite,Pb10Cu(CrO4)6(SiO4)2(OH)2
Iraqite-(La),KCa2(LaCeTh)Si8O20
Irarsite,(IrRuRhPt)AsS
Irhtemite,Ca4Mg(AsO4)2(HAsO4)2 · 4H2O
Iridarsenite,(IrRu)As2
Iridium,(IrOsRu)
Iriginite,(UO2)Mo2O7 · 3H2O
Iron,Fe
Irtyshite,Na2(TaNb)4O11
Ishikawaite,U4+Fe2+Nb2O8
Isoclasite,Ca2(PO4)(OH) · 2H2O
Isocubanite,CuFe2S3
Isoferroplatinum,Pt3Fe
Isokite,CaMg(PO4)F
Isomertieite,Pd11Sb2As2
Itoite,Pb3Ge4+(SO4)2O2(OH)2
Iwakiite,Mn2+Fe3+2O4
Ixiolite,(TaNbSnFeMn)4O8
Izoklakeite,Pb27(CuFeAg)2(SbBi)19S57
Jacobsite,Mn2+Fe3+2O4
Jadeite,Na(AlFe3+)Si2O6
Jaffeite,Ca6(Si2O7)(OH)6
Jagoite,Pb18Fe3+4[Si4(SiFe3+)6][Pb4Si16(SiFe)4]O82Cl6
Jagowerite,BaAl2(PO4)2(OH)2
Jahnsite-(CaMnFe),{Ca}{Mn2+}{Fe2+2}{Fe3+2}(PO4)4(OH)2 · 8H2O
Jahnsite-(CaMnMg),{Ca}{Mn2+}{(MgFe2+)2}{Fe3+2}(PO4)4(OH)2 · 8H2O
Jahnsite-(CaMnMn),{Ca}{Mn2+}{Mn2+2}{Fe3+2}(PO4)4(OH)2 · 8H2O
Jalpaite,Ag3CuS2
Jamborite,Ni2+1-xCo3+x(OH)2-x(SO4)x · nH2O
Jamesite,Pb2Zn(Fe2+Zn)2Fe3+4(AsO4)4(OH)10
Jamesonite,Pb4FeSb6S14
Janggunite,Mn5-x(MnFe)1+xO8(OH)6
Janhaugite,(NaCa)3(Mn2+Fe2+)3(TiZrNb)2(Si2O7)2O2(OHF)2
Jankovićite,Tl5Sb9(AsSb)4S22
Jarlite,Na(SrNa)7MgAl6F32(OHH2O)2
Jarosewichite,Mn2+3Mn3+(AsO4)(OH)6
Jarosite,KFe3+ 3(SO4)2(OH)6
Jaskólskiite,CuxPb2+x(SbBi)2-xS5 (x ~ 0.15)
Jasmundite,Ca11(SiO4)4O2S
Jasp-agate,SiO2
Jeanbandyite,Fe3+xFe2+1-xSn(OH)6-xOx (1 ≥ x > 0.5)
Jeffersonite,Ca(MnZnFe)Si2O6
Jeffreyite,(CaNa)2(BeAl)(Si2O7HSi2O7)
Jennite,Ca9(Si3O9)2(OH)8 · 8H2O
Jensenite,Cu3[TeO6] · 2H2O
Jeppeite,(KBa)2(TiFe)6O13
Jeremejevite,Al6(BO3)5(FOH)3
Jerrygibbsite,Mn2+9(SiO4)4(OH)2
Jervisite,NaSc3+Si2O6
Jianshuiite,(MgMnCa)Mn3O7 · 3H2O
Jimboite,(Mn2+Mg)3[BO3]2
Jimthompsonite,(MgFe)5Si6O16(OH)2
Jinshajiangite,BaNaFe2+4Ti2(Si2O7)2O2(OH)2F
Jixianite,Pb(WFe3+)2(OOH)7
Joaquinite-(Ce),NaBa2Ce2FeTi2[Si4O12]2O2(OHF) · H2O
Joesmithite,{Pb}{Ca2}{Mg3Fe3+2}(Be2Si6O22)(OH)2
Johachidolite,CaAlB3O7
Johannite,Cu(UO2)2(SO4)2(OH)2 · 8H2O
Johannsenite,CaMn2+Si2O6
Johillerite,Na(MgZn)3Cu(AsO4)3
Johnbaumite,Ca5(AsO4)3OH
Johninnesite,Na2Mn2+9Mg7(OH)8[AsO4]2[Si6O17]2
Johnsomervilleite,Na10Ca6Mg18Fe25(PO4)36
Johnwalkite,K(Mn2+Fe2+Fe3+)2(Nb5+Ta5+)(PO4)2O2 · 2(H2OOH)
Jôkokuite,MnSO4 · 5H2O
Joliotite,(UO2)CO3 · nH2O
Jolliffeite,NiAsSe
Jonesite,Ba4(KNa)2Ti4Al2(Si3O9)2(SiO4)4O2 · 6H2O
Jordanite,Pb14(AsSb)6S23
Jordisite,MoS2
Joséite,Bi4TeS2
Joséite-A,Bi4TeS2
Joséite-B,Bi4Te2S
Jouravskite,Ca3Mn4+(SO4)(CO3)(OH)6 · 12H2O
Juanite,Ca10Mg4Al2Si11O39 · 4H2O or near
Julgoldite-(Fe2+),Ca2Fe2+Fe3+2(Si2O7)(SiO4)(OH)2 · H2O
Julienite,Na2[Co(SCN)4] · 8H2O
Jungite,Ca2Zn4Fe3+8(PO4)9(OH)9 · 16H2O
Junitoite,CaZn2Si2O7 · H2O
Junoite,Cu2Pb3Bi8(SSe)16
Jurbanite,Al(SO4)(OH) · 5H2O
Kaatialaite,Fe(H2AsO4)3 · 5H2O
Kadyrelite,(Hg2+2)3OBr3(OH)
Kaersutite,{Na}{Ca2}{Mg3AlTi}(Al2Si6O22)O2
Kafehydrocyanite,K4[Fe(CN)6] · H2O
Kahlerite,Fe(UO2)2(AsO4)2 · 12H2O
Kainite,KMg(SO4)Cl · 3H2O
Kainosite-(Y),Ca2(YCe)2(Si4O12)(CO3) · H2O
Kalborsite,K6Al4BSi6O20(OH)4Cl
Kaliborite,KMg2H[B6O8(OH)5]2(H2O)4
Kalinite,KAl(SO4)2 · 11H2O
Kalininite,ZnCr2S4
Kaliophilite,KAlSiO4
Hydropyrochlore,(H2O□)2Nb2(OOH)6(H2O)
Kalistrontite,K2Sr(SO4)2
Kalsilite,KAlSiO4
Kamacite,(FeNi)
Kamaishilite,Ca2(Al2SiO6)(OH)2
Kambaldaite,NaNi4(CO3)3(OH)3 · 3H2O
Kamchatkite,KCu3(SO4)2OCl
Kamiokite,Fe2Mo3O8
Kamitugaite,PbAl[(UO2)5(PO4)2.38(AsO4)0.62O2(OH)2] · 11.5H2O
Chromian Clinochlore,Mg5(AlCr)2Si3O10(OH)8
Kamotoite-(Y),Y2(UO2)4(CO3)3O4 · 14H2O
Kamphaugite-(Y),Ca(YREE)(CO3)2(OH) · H2O
Kanemite,HNaSi2O5 · 3H2O
Kaňkite,FeAsO4 · 3.5H2O
Kanoite,Mn2+(MgMn2+)Si2O6
Kanonaite,Mn3+Al(SiO4)O
Kaolinite,Al2(Si2O5)(OH)4
Karasugite,SrCa[Al(FOH)7]
Karelianite,V3+2O3
Karibibite,Fe3+3(As3+O2)4(As3+2O5)(OH)
Karlite,Mg7(BO3)3(OHCl)5
Karnasurtite-(Ce),(CeLaTh)(TiNb)(AlFe)(Si2O7)(OH)4 · 3H2O
Carpathite,C24H12
Karpinskite,(NiMg)2Si2O5(OH)2 (?)
Kashinite,(IrRh)2S3
Kasolite,Pb(UO2)[SiO4] · H2O
Kassite,CaTi2O4(OH)2
Katoite,Ca3Al2(SiO4)3-x(OH)4x (x = 1.5-3)
Ferro-katophorite,{Na}{CaNa}{Fe2+4Al}[(AlSi7)O22](OH)2
Katoptrite,(Mn2+Mg)13(AlFe3+)4Sb5+2(SiO4)2O20
Kawazulite,Bi2Te2Se
Kazakhstanite,Fe3+5V4+3V5+12O39(OH)9 · 9H2O
Kazakovite,Na6Mn2+Ti(Si6O18)
Keatite,SiO2
Keckite,CaMn2+(Fe3+Mn2+)Fe3+2(PO4)4(OH)3 · 7H2O
Kegelite,Pb8Al4(Si8O20)(SO4)2(CO3)4(OH)8
Keithconnite,Pd20Te7
Keiviite-(Y),Y2Si2O7
Keiviite-(Yb),Yb2Si2O7
Keldyshite,(NaH)2ZrSi2O7
Kellyite,Mn2+2Al(AlSiO5)(OH)4
Kelyanite,(Hg+2)6Sb3+BrCl2O6
Kemmlitzite,SrAl3(AsO4)(SO4)(OH)6
Kempite,Mn2+2(OH)3Cl
Kennedyite,Fe2TiO5
Kentrolite,Pb2Mn3+2(Si2O7)O2
Kenyaite,Na2Si22O41(OH)8 · 6H2O
Kermesite,Sb2S2O
Kernite,Na2[B4O6(OH)2] · 3H2O
Kësterite,Cu2ZnSnS4
Kettnerite,CaBiCO3OF
Keyite,Cu2+3Zn4Cd2(AsO4)6 · 2H2O
Keystoneite,Mg0.5Ni2+Fe3+(Te4+O3)3 · 4.5H2O
Khademite,Al(SO4)F · 5H2O
Khamrabaevite,(TiVFe)C
Khanneshite,(NaCa)3(BaSrCeCa)3(CO3)5
Kharaelakhite,(CuPtPbFeNi)9S8
Khatyrkite,(CuZn)Al2
Khibinskite,K2ZrSi2O7
Khinite,Pb2+Cu2+3[Te6+O6](OH)2
Khristovite-(Ce),{CaCe}{MgAlMn2+}(Si2O7)(SiO4)(OH)F
Kiddcreekite,Cu6SnWS8
Kidwellite,NaFe3+9+x(PO4)6(OH)11 · 3H2O x = 0.33
Kieftite,CoSb3
Kieserite,MgSO4 · H2O
Kilchoanite,Ca6(SiO4)(Si3O10)
Killalaite,Ca6.4(H0.6Si2O7)2(OH)2
Kimrobinsonite,(TaNb)(OH)5-2x(OCO3)x ; x near 1.2
Kimuraite-(Y),Ca(YNd)2(CO3)4 · 6H2O
Kimzeyite,Ca3(ZrTi)2((SiAlFe3+)O4)3
Kingite,Al3(PO4)2F2(OH) · 7H2O
Kingsmountite,Ca4(Fe2+Mn2+)Al4(PO4)6(OH)4 · 12H2O
Kinichilite,Mg0.5Mn2+Fe3+(Te4+O3)3 · 4.5H2O
Kinoite,Ca2Cu2(H2O)2[Si3O10]
Kintoreite,PbFe3(PO4)(PO3OH)(OH)6
Kipushite,(CuZn)5Zn(PO4)2(OH)6 · H2O
Kirkiite,Pb10Bi3As3S19
Kirschsteinite,CaFe2+SiO4
Kitaibelite,Ag10PbBi30S51
Kitkaite,NiTeSe
Kittatinnyite,Ca2Mn2Mn(SiO4)2(OH)4 · 9H2O
Kivuite,(ThCaPb)(UO2)4(HPO4)2(OH)8 · 7H2O
Kladnoite,C6H4(CO)2NH
Klebelsbergite,Sb4O4(SO4)(OH)2
Kleemanite,ZnAl2(PO4)2(OH)2 · 3H2O
Kleinite,(Hg2N)(ClSO4) · nH2O
Klockmannite,CuSe
Klyuchevskite,K3Cu3(Fe3+Al)(SO4)4O2
Knopite,(CaCeNa)(TiFe)O3
Knorringite,Mg3Cr2(SiO4)3
Koashvite,Na6(CaMn)(TiFe)Si6O18 · H2O
Cobaltoan Bismuthian Tennantite,(CuCo)12(AsBi)S13
Kobeite-(Y),(REEFeU)3 Zr(TiNb)3 O12
Kobellite,Pb22Cu4(BiSb)30S69
Kochkarite,PbBi4Te7
Koechlinite,Bi2MoO6
Kogarkoite,Na3(SO4)F
Koktaite,(NH4)2Ca(SO4)2 · H2O
Kolarite,PbTeCl2
Kolbeckite,ScPO4 · 2H2O
Kolfanite,Ca2Fe3+3O2(AsO4)3 · 2H2O
Kolicite,Mn2+7Zn4(AsO4)2(SiO4)2(OH)8
Kolovratite,NixZny(VO4)0.67(x+y) · nH2O
Kolwezite,(CuCo)2(CO3)(OH)2
Kolymite,Cu7Hg6
Komarovite,(CaMn)Nb2[O3|Si2O7] · 3.5H2O
Kombatite,Pb14(VO4)2O9Cl4
Komkovite,BaZr[Si3O9] · 3H2O
Konderite,Cu3Pb(RhPtIr)8S16
Koninckite,Fe3+PO4 · 3H2O
Kongsbergite,(AgHg)
Konyaite,Na2Mg(SO4)2 · 5H2O
Koritnigite,Zn(HAsO4) · H2O
Kornelite,Fe2(SO4)3 · 7H2O
Kornerupine,Mg3Al6(SiAlB)5O21(OH)
Potassic-mangani-leakeite,[(NaK)][Na2][Mg2Mn3+2Li]Si8O22(OH)2
Korshunovskite,Mg2Cl(OH)3 · 4H2O
Korzhinskite,Ca(B2O4) · H2O
Kosmochlor,NaCrSi2O6
Kosnarite,KZr2(PO4)3
Kostovite,CuAuTe4
Kostylevite,K2Zr(Si3O9) · H2O
Kotoite,Mg3[BO3]2
Köttigite,Zn3(AsO4)2 · 8H2O
Kotulskite,Pd(TeBi)
Koutekite,Cu5As2
Kovdorskite,Mg2(PO4)(OH) · 3H2O
Mangano-ferri-eckermannite,{Na}{Na2}{Mn2+4Fe3+}Si8O22(OH)2
Kraisslite,Zn3(MnMg)25(Fe3+Al)(As3+O3)2[(SiAs5+)O4]10(OH)16
Kratochvílite,C13H10
Krausite,KFe(SO4)2 · H2O
Krauskopfite,BaSi2O5 · 3H2O
Krautite,Mn(HAsO4) · H2O
Kremersite,(NH4K)2[Fe3+Cl5(H2O)]
Krennerite,Au3AgTe8
Kribergite,Al5(PO4)3(SO4)(OH)4 · 4H2O
Krinovite,Na2Mg4Cr3+2(Si6O18)O2
Kröhnkite,Na2Cu(SO4)2 · 2H2O
Krupkaite,PbCuBi3S6
Krut'aite,CuSe2
Krutovite,NiAs2
Kryzhanovskite,(Fe3+Mn2+)3(PO4)2(OHH2O)3
Ktenasite,Zn(CuZn)4(SO4)2(OH)6 · 6H2O
Kukisvumite,Na6ZnTi4(Si8O24)O4 · 4H2O
Kuksite,Pb3Zn3(PO4)2(TeO6)
Kulanite,Ba(Fe2+Mn2+Mg)2(AlFe3+)2(PO4)3(OH)3
Kuliokite-(Y),Y4Al(SiO4)2(OH)2F5
Kulkeite,Mg8Al(AlSi7O20)(OH)10
Kullerudite,NiSe2
Kunzite,LiAlSi2O6
Kupletskite,(KNa)3(MnFe)7Ti2Si8O26(OH)4F
Kuramite,Cu3SnS4
Kuranakhite,PbMn4+Te6+O6
Kurchatovite,Ca(MgMn2+)[B2O5]
Kurilite,Ag8Te3Se
Kurnakovite,MgB3O3(OH)5 · 5H2O
Kurumsakite,(ZnNiCu)8Al8V5+2Si5O35 · 27H2O (?)
Kusachiite,CuBi2O4
Kutinaite,Ag6Cu14As7
Kutnohorite,CaMn2+(CO3)2
Kuzminite,(Hg2+2)(BrCl)2
Kuznetsovite,(Hg+2)Hg2+(AsO4)Cl
Kvanefjeldite,Na4(CaMn)(Si3O7)2(OH)2
Kyanite,Al2(SiO4)O
Kyzylkumite,V3+Ti2O5(OH)
Kalicinite,KHCO3
Koenenite,Na4Mg9Al4Cl12(OH)22
Kinoshitalite,(BaK)(MgMn2+Al)3(Al2Si2O10)(OH)2
Labradorite,(CaNa)[Al(AlSi)Si2O8]
Labuntsovite-Mn,Na4K4(BaK)2Mn2+(TiNb)8(Si4O12)4(OOH)8 · 10-12H2O
Lacroixite,NaAl(PO4)F
Laffittite,AgHgAsS3
Laihunite,Fe2+Fe3+2(SiO4)2
Laitakarite,Bi4Se2S
Lammerite,Cu3(AsO4)2
Lamprophyllite,(NaMn2+)3(SrNa)2(TiFe3+)3(Si2O7)2O2(OHOF)2
Lanarkite,Pb2(SO4)O
Landauite,NaMnZn2(TiFe)6Ti12O38
Landesite,Mn2+3-xFe3+x(PO4)2(OH)x · (3-x)H2O
Långbanite,Mn2+4Mn3+9Sb5+O16(SiO4)2
Langbeinite,K2Mg2(SO4)3
Langisite,(CoNi)As
Langite,Cu4(SO4)(OH)6 · 2H2O
Lannonite,Mg2Ca4Al4(SO4)8F8 · 24H2O
Lansfordite,MgCO3 · 5H2O
Lanthanite-(Ce),(CeLaNd)2(CO3)3 · 8H2O
Lanthanite-(La),(LaCe)2(CO3)3 · 8H2O
Lanthanite-(Nd),(NdLa)2(CO3)3 · 8H2O
Laphamite,As2(SeS)3
Lapieite,NiCuSbS3
Laplandite-(Ce),Na4CeTiPO4Si7O18 · 5H2O
Larderellite,(NH4)B5O7(OH)2 · H2O
Larnite,Ca2SiO4
Larosite,(CuAg)21PbBiS13
Larsenite,PbZnSiO4
Latiumite,(CaK)4(SiAl)5O11(SO4CO3)
Latrappite,Ca2NbFe3+O6
Laubmannite,(Fe2+Mn2+Ca)3Fe3+6(PO4)4(OH)12
Laueite,Mn2+Fe3+2(PO4)2(OH)2 · 8H2O
Laumontite,CaAl2Si4O12 · 4H2O
Launayite,CuPb10(SbAs)12S20
Laurelite,Pb7F12Cl2
Laurionite,PbCl(OH)
Laurite,RuS2
Lausenite,Fe2(SO4)3·5H2O
Lautarite,Ca(IO3)2
Lautenthalite,PbCu4(SO4)2(OH)6 · 3H2O
Lautite,CuAsS
Lavendulan,NaCaCu5(AsO4)4Cl · 5H2O
Lavrentievite,Hg2+3S2(ClBr)2
Lawrencite,(Fe2+Ni)Cl2
Lawsonbauerite,(Mn2+Mg)9Zn4(SO4)2(OH)22 · 8H2O
Lawsonite,CaAl2(Si2O7)(OH)2 · H2O
Lazarenkoite,(CaFe2+)Fe3+As3+3O7 · 3H2O
Leadhillite,Pb4(CO3)2(SO4)(OH)2
Ferri-leakeite,[Na][Na2][Mg2Fe3+2Li]Si8O22(OH)2
Lechatelierite,SiO2
Lecontite,(NH4K)NaSO4 · 2H2O
Legrandite,Zn2(AsO4)(OH) · H2O
Lehiite,CaAl3(PO4)(PO3OH)(OH)6
Lehnerite,Mn2+(UO2)2(PO4)2 · 8H2O
Leifite,(NaH2O)Na6[Be2Al2(AlSi)Si15O39]F2
Leightonite,K2Ca2Cu(SO4)4 · 2H2O
Leiteite,Zn(As2O4)
Lemoynite,(NaK)2CaZr2Si10O26 · 5H2O
Lenaite,AgFeS2
Lengenbachite,Ag4Cu2Pb18As12S39
Leningradite,PbCu3(VO4)2Cl
Lennilenapeite,K6-7(MgMnFeZn)48(SiAl)72(OOH)216 · 16H2O
Lenoblite,V4+2O4 · 2H2O
Leonite,K2Mg(SO4)2 · 4H2O
Lepersonnite-(Gd),Ca(GdDy)2(UO2)24(SiO4)4(CO3)8(OH)24 · 48H2O
Lepidocrocite,γ-Fe3+O(OH)
Lepidolite,KLi2Al(Si4O10)(FOH)2
Lermontovite,U(PO4)(OH) · H2O
Letovicite,(NH4)3H(SO4)2
Leucophanite,NaCaBeSi2O6F
Leucophoenicite,Mn2+7(SiO4)3(OH)2
Leucophosphite,KFe3+2(PO4)2(OH) · 2H2O
Leucosphenite,BaNa4Ti2B2Si10O30
Lévyclaudite,Pb8Sn7Cu3(BiSb)3S28
Hydroxycalcioroméite,(CaSb3+)2(Sb5+Ti)2O6(OH)
Lithiotantite,LiTa3O8
Liandratite,U(NbTa)2O8
Lithiowodginite,LiTa3O8
Liberite,Li2BeSiO4
Libethenite,Cu2(PO4)(OH)
Liddicoatite,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3(OH)
Liebauite,Ca3Cu5Si9O26
Liebenbergite,(NiMg)2SiO4
Liebigite,Ca2(UO2)(CO3)3 · 11H2O
Likasite,Cu3(NO3)(OH)5 · 2H2O
Lillianite,Pb3-2xAgxBi2+xS6
Lime,CaO
Limonite,(FeOOHH2O)
Linarite,PbCu(SO4)(OH)2
Lindackerite,CuCu4(AsO4)2(HAsO4)2 · 9H2O
Lindgrenite,Cu3(MoO4)2(OH)2
Lindqvistite,Pb2Mn2+Fe16O27
Lindsleyite,(BaSr)(ZrCa)(FeMg)2(TiCrFe)18O38
Lindströmite,Pb3Cu3Bi7S15
Linnaeite,Co2+Co3+2S4
Lintisite,LiNa3Ti2(Si2O6)2O2 · 2H2O
Liottite,(NaK)16Ca8(Al6Si6O24)3(SO4)5Cl4
Lipscombite,Fe2+Fe3+2(PO4)2(OH)2
Liroconite,Cu2Al(AsO4)(OH)4 · 4H2O
