Adularia,KAlSi3O8
Avicennite,Tl2O3
Avogadrite,(KCs)[BF4]
Awaruite,Ni3Fe
Azoproite,(MgFe2+)2(Fe3+TiMg)(BO3)O2
Azorite,Zr(SiO4)
Azovskite,Fe3+3(PO4)(OH)6 or near
Azulicite,K(AlSi3O8)
Azurchalcedony,SiO2
Azurite,Cu3(CO3)2(OH)2
Aluminotschermakite,☐{Ca2}{Mg3Al2}(Al2Si6O22)(OH)2
Augelite,Al2(PO4)(OH)3
Almandine,Fe2+3Al2(SiO4)3
Ashoverite,Zn(OH)2
Achroite,A(D3)G6(T6O18)(BO3)3X3Z
Arandisite,3SnSiO4 · 2SnO2 · 4H2O
Anandite,(BaK)(Fe2+Mg)3((SiAlFe)4O10)(SOH)2
Ba-Mordenite,near BaAl2Si10O24 · 7H2O
Ba-Priderite,(BaK)(TiFe)8O16
Barian Celestine,(SrBa)SO4
Barium-Sanidine,K(AlSi3O8)
Barium-Lamprophyllite,(NaMn2+)3(SrNaBaK)2(TiFe3+)3(Si2O7)2O2(OHOF)2
Barytolamprophyllite,(BaNa)2(NaTiFe3+)4Ti2(Si2O7)2O(OHF)
Barium-Hydroxylapatite,Ba5(PO4)3OH
Barian Heulandite,(NaCaBa)4Al6(AlSi)4Si26O72 · 24H2O
Barium-Brewsterite,(BaSr)[Al2Si6O16] · 5H2O
Barytocalcite,BaCa(CO3)2
Barium-Hamlinite,BaAl4(PO4)2(OH)8 · 8H2O
Barium-Nepheline,BaAl2Si2O8
Barium-Natrolite,BaAl2Si3O10 · nH2O
Barium-Orthoclase,(KBa)(AlSi)Si3O8
Bariopharmacosiderite,Ba0.5Fe3+4(AsO4)3(OH)4 · 5H2O
Barium-Oxyapatite,Ba10(PO4)6O
Barium-Phlogopite,(KBa)1-xMg3(AlSi3O10)(OHF)2
Barium-Vanadium-Muscovite,KAl2(AlSi3O10)(OH)2
Babefphite,BaBePO4(FOH)
Babel-Quartz,SiO2
Babingtonite,Ca2(FeMn)FeSi5O14(OH)
Baddeleyite,ZrO2
Bafertisite,Ba2Fe2+4Ti2(Si2O7)2O2(OH)2F2
Baghdadite,Ca3(ZrTi)(Si2O7)O2
Bahianite,Al5Sb3O14(OH)2
Baikalite,CaMgSi2O6
Baikovite,MgTi2O4
Baileychlore,(ZnFe2+AlMg)6(SiAl)4O10(OH)8
Baiyuneboite-(Ce),NaBaCe2(CO3)4F
Bakerite,Ca4(H5B5Si3O20)
Balangeroite,(MgFe2+Fe3+Mn2+)42Si16O54(OH)40
Balavinskite,Sr2B6O11 · 4H2O
Balipholite,BaLiMg2Al3(Si2O6)2(OH)4
Balkanite,Cu9Ag5HgS8
Balyakinite,Cu(TeO3)
Bambollaite,Cu(SeTe)2
Bamlite,Al2(SiO4)O
Banalsite,Na2BaAl4Si4O16
Bandylite,Cu[B(OH)4]Cl
Bannermanite (of Thompson),V2O5(Possibly)
Bannermanite,(NaK)0.7V4+0.7V5+5.3O15
Bannisterite,(CaKNa)(Mn2+Fe2+)10(SiAl)16O38(OH)8 · nH2O
Baotite,Ba4Ti8Si4O28Cl
Bararite,(NH4)2[SiF6]
Baratovite,KCa7(TiZr)2Li3Si12O36F2
Barberiite,(NH4)[BF4]
Stichtite-2H,Mg6(CrAl)2(CO3)(OH)16 · 4H2O
Barbosalite,Fe2+Fe3+2(PO4)2(OH)2
Bardolite,near K2Mg5FeFe4Al2Si12O40
Barentsite,Na7Al(HCO3)2(CO3)2F4
Barettite,near (CaMgFe)6Si5O16 · 0.5H2O
Bariandite,Al0.6(V5+V4+)8O20 · 9H2O
Baricalcite,(CaBa)CO3
Barićite,(MgFe)3(PO4)2 · 8H2O
Bario-orthojoaquinite,(BaSr)4Fe2Ti2[Si4O12]2O2 · H2O
Bariopyrochlore (of Hogarth 1977),A2Nb2(OOH)6Z
Barium-Adularia,(KBa)Al(AlSi)Si2O8
Barium-Alumopharmacosiderite,Ba0.5Al4(AsO4)3(OH)4 · 4H2O
Barium-Anorthite (of Nockolds and Zies),(CaBa)Al2Si2O8
Barklyite,Al2O3
Barnesite,(NaCa)V6O16 · 3H2O
Barrerite,(NaKCa0.5)2[Al2Si7O18] · 7H2O
Barringerite,(FeNi)2P
Barringtonite,MgCO3 · 2H2O
Barroisite,☐{CaNa}{Mg3Al2}(AlSi7O22)(OH)2
Barstowite,Pb4Cl6(CO3) · H2O
Bartelkeite,Pb(Fe2+Ge)[Ge2O7](OH)2 · H2O
Cuprian Austinite,CaZn(AsO4)(OH)
Bartholomite,near Na2Fe(SO4)2(OH) · 0.5H2O
Bartonite,K6Fe20S26S
Barylite,Be2Ba(Si2O7)
Barysilite,Pb8Mn2+[Si2O7]3
Barytbiotite,(KBa)2(MgAl)2-6(AlSi)8O20
Baryte,BaSO4
Barytoanglesite,(PbBa)SO4
Barytocalcite (of Johnston),BaCa(CO3)2
Basaluminite,Al4(SO4)(OH)10 · 4H2O
Bassanite,CaSO4 · 0.5H2O
Bassetite,Fe2+(UO2)2(PO4)2 · 10H2O
Bastinite,(MnFe)5(PO4)2(HPO4)2 · 4H2O
Bastnäsite-(Ce),Ce(CO3)F
Bastnäsite-(La),La(CO3)F
Bastnäsite-(Y),Y(CO3)F
Bastonite,near K3(MgFeFeAl)5.5(SiAl)8O22(OH)4 · 1.5H2O
Batavite,Mg0.7(MgFeAl)6(SiAl)8O20(OH)4 · 8H2O
Batchelorite,KAl2(AlSi3O10)(OH)2
Batisite,BaNaNaTi2(Si4O12)O2
Batrachite,(NaCa)0.33(AlMg)2(Si4O10)(OH)2 · nH2O
Bauerite,SiO2
Argentobaumhauerite,Ag1.5Pb22As33.5S72
Baumhauerite,Pb12As16S36
Baumite,(MgAlMnZnFe)3(SiAl)2O5(OH)4
Bauranoite,Ba(UO2)2(OH)6 · 1-2H2O
Bavalite,(FeMgAl)6(SiAl)4O10(OH)8
Bavenite,Ca4Be2Al2Si9O26(OH)2
Bayankhanite,Cu3-8HgS3-5
Bayate,SiO2
Bayerite,Al(OH)3
Bayldonite,PbCu3(AsO4)2(OH)2
Bayleyite,Mg2(UO2)(CO3)3 · 18H2O
Baylissite,K2Mg(CO3)2 · 4H2O
Bazhenovite,Ca8S2(S3)(S2O3)(OH)12 · 20H2O
Bazirite,BaZr(Si3O9)
Bazzite,Be3Sc2(Si6O18)
Beaconite,Mg3Si4O10(OH)2
Bean Ore,FeO(OH) · nH2O
Bearsite,Be2(AsO4)(OH) · 4H2O
Bearthite,Ca2Al(PO4)2(OH)
Beaverite-(Cu),Pb(Fe3+2Cu)(SO4)2(OH)6
Beccarite,Zr(SiO4)
Bechererite,Zn7Cu(OH)13[(SiO(OH)3(SO4)]
Bechilite,CaB4O7 · 6H2O
Beckelite,(CeCa)5(SiO4)3(OHF)
Becquerelite,Ca(UO2)6O4(OH)6 · 8H2O
Beegerite,Pb6Bi2S9
Beekite,SiO2
Befanamite,Sc2Si2O7
Béhierite,(Ta5+Nb5+)(BO4)
Behoite,Be(OH)2
Beidellite,(NaCa0.5)0.3Al2((SiAl)4O10)(OH)2 · nH2O
Beldongrite,Mn18Fe2O33 · 8H2O
Belendorffite,Cu7Hg6
Belkovite,Ba3(NbTi)6(Si2O7)2O12
Bellbergite,(KBaSr)2Sr2Ca2(CaNa)4[Al3Si3O12]6 · 30H2O
Bellidoite,Cu2Se
Bellingerite,Cu3(IO3)6 · 2H2O
Bellite,Pb5(AsO4CrO4SiO4)3Cl
Belmontite,(Pb Si O)
Belovite-(Ce),NaCeSr3(PO4)3F
Belyankinite,Ca1-2(TiNb)5O12 · 9H2O (?)
Bementite (of Dana),CaB2Si2O8
Bementite,Mn7Si6O15(OH)8
Benauite,SrFe3+3(HPO4PO4)2(OH)6
Benavidesite,Pb4MnSb6S14
Benitoite,BaTi(Si3O9)
Benjaminite,Ag3Bi7S12
Benstonite,Ba6Ca6Mg(CO3)13
Bentorite,Ca6(Cr3+Al)2(SO4)3(OH)12 · 26H2O
Beraunite,Fe2+Fe3+5(PO4)4(OH)5 · 6H2O
Berborite,Be2(BO3)(OHF) · H2O
Berdesinskiite,V3+2TiO5
Bergenite,Ca2Ba4(UO2)9(PO4)6O6 · 16H2O
Bergslagite,CaBeAsO4(OH)
Berlinite,AlPO4
Bermanite,Mn2+Mn3+2(PO4)2(OH)2 · 4H2O
Bernalite,Fe(OH)3 · nH2O (n = 0.0 to 0.25)
Bernardite,TlAs5S8
Berndtite,SnS2
Berryite,Cu3Ag2Pb3Bi7S16
Berthierine,(Fe2+Fe3+Al)3(SiAl)2O5(OH)4
Berthierite,FeSb2S4
Bertossaite,(LiNa)2(CaFe2+Mn2+)Al4(PO4)4(OHF)4
Bertrandite,Be4(Si2O7)(OH)2
Beryllite,Be3(SiO4)(OH)2 · H2O
Beryllonite,NaBePO4
Berzelianite,Cu2Se
Berzeliite,(NaCa2)Mg2(AsO4)3
Betalomonosovite,Na6☐4Ti4(Si2O7)2[PO3(OH)][PO2(OH)2]O2(OF)
Moissanite-beta,SiC
Betafite (of Hogarth 1977),A2-mD2X6-wZ1+w
Betekhtinite,(CuFe)21Pb2S15
Betpakdalite-CaCa,[Ca2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O36(OH)]
Beudantite,PbFe3(AsO4)(SO4)(OH)6
Beusite,Mn2+Mn2+2 (PO4)2
Beyerite,Ca(BiO)2(CO3)2
Beyrichite,Fe2+Ni3+2S4
Bezsmertnovite,(AuAg)4Cu(TePb)
Bhreckite,Ca Mg Fe Si O H
Bismutohauchecornite,Ni9Bi2S8
Bismutostibiconite,Bi(Sb5+Fe3+)2O7
Bianchite,(ZnFe)SO4 · 6H2O
